"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5819935486.251926,0,123,0,0,yes,1.000000
24,,28046978107.899818,28077605564.592560,0,535,0,0,yes,1.000000
23,,2348993483.112576,2374814264.879421,0,55,0,0,yes,1.000000
22,,16921536531.488951,16957081498.843164,0,363,0,0,yes,1.000000
21,,2211255901.335674,2652878198.022429,0,64,0,0,yes,1.000000
20,,4060630482.754071,4060997225.812441,0,145,0,0,yes,1.000000
19,,3572276779.011707,3650869972.234840,0,108,0,0,yes,1.000000
18,,29962095.938975,38881085.279300,0,9,0,0,yes,1.000000
17,,191115344.410160,373560254.535650,0,13,0,0,yes,1.000000
16,,26801703402.514065,28003007694.186295,0,516,0,0,yes,1.000000
15,,2378703547.671384,2413337767.221679,0,111,0,0,yes,1.000000
14,,589388305.364250,806412881.276360,0,57,0,0,yes,1.000000
13,,531788900.982630,686016085.236280,0,86,0,0,yes,1.000000
12,,541919697.265620,703137346.282210,0,76,0,0,yes,1.000000
11,,1015495584.187755,1015880411.204560,0,169,0,0,yes,1.000000
10,,551661937.579320,572006434.061970,0,89,0,0,yes,1.000000
9,,1191423147.546900,1525925624.253930,0,82,0,0,yes,1.000000
8,,1289643311.160406,1655481001.945801,0,170,0,0,yes,1.000000
7,,2171242637.422111,2261738819.114769,0,170,0,0,yes,1.000000
6,,2343689936.523930,3221219920.868147,0,163,0,0,yes,1.000000
5,,1507276552.211417,1535487817.296889,0,89,0,0,yes,1.000000
4,,537709988.218270,585659384.174790,0,55,0,0,yes,1.000000
3,,1382677638.744610,1570916526.496590,0,69,0,0,yes,1.000000
2,,961616721.645475,1324468415.545421,0,111,0,0,yes,1.000000
1,,590592147.143080,596378059.162130,0,39,0,0,yes,1.000000
