"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5905966878.532180,0,131,0,0,yes,1.000000
24,,28046978107.899818,28047105047.976349,0,543,0,0,yes,1.000000
23,,2348993483.112576,2596210549.347180,0,62,0,0,yes,1.000000
22,,16921536531.488951,16990305936.443243,0,373,0,0,yes,1.000000
21,,2211255901.335674,2279959867.265139,0,55,0,0,yes,1.000000
20,,4060630482.754071,4098841199.948640,0,170,0,0,yes,1.000000
19,,3572276779.011707,3584704387.870581,0,103,0,0,yes,1.000000
18,,29962095.938975,35646654.724120,0,14,0,0,yes,1.000000
17,,191115344.410160,290711149.583500,0,10,0,0,yes,1.000000
16,,26801703402.514065,28169858827.458714,0,524,0,0,yes,1.000000
15,,2378703547.671384,2579500662.620589,0,113,0,0,yes,1.000000
14,,589388305.364250,713258879.598630,0,47,0,0,yes,1.000000
13,,531788900.982630,762293494.731400,0,89,0,0,yes,1.000000
12,,541919697.265620,615282788.621080,0,70,0,0,yes,1.000000
11,,1015495584.187755,1018442350.849110,0,172,0,0,yes,1.000000
10,,551661937.579320,551729826.321240,0,87,0,0,yes,1.000000
9,,1191423147.546900,1203114552.450690,0,67,0,0,yes,1.000000
8,,1289643311.160406,1699625881.694321,0,174,0,0,yes,1.000000
7,,2171242637.422111,2308154795.246590,0,173,0,0,yes,1.000000
6,,2343689936.523930,3247580446.789547,0,166,0,0,yes,1.000000
5,,1507276552.211417,1596492683.162120,0,89,0,0,yes,1.000000
4,,537709988.218270,544449146.821320,0,59,0,0,yes,1.000000
3,,1382677638.744610,1588284376.566880,0,70,0,0,yes,1.000000
2,,961616721.645475,992914713.118150,0,110,0,0,yes,1.000000
1,,590592147.143080,594123513.480000,0,43,0,0,yes,1.000000
