"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5511053334.511229,0,131,0,0,yes,1.000000
24,,28046978107.899818,28046975485.725880,0,548,0,0,no,1.000000
23,,2348993483.112576,2536611454.828121,0,61,0,0,yes,1.000000
22,,16921536531.488951,17164251711.723013,0,377,0,0,yes,1.000000
21,,2211255901.335674,2232521945.072279,0,55,0,0,yes,1.000000
20,,4060630482.754071,4060878337.831951,0,167,0,0,yes,1.000000
19,,3572276779.011707,3581103064.014649,0,99,0,0,yes,1.000000
18,,29962095.938975,38401691.973650,0,16,0,0,yes,1.000000
17,,191115344.410160,260723564.583010,0,8,0,0,yes,1.000000
16,,26801703402.514065,28276389328.636463,0,535,0,0,yes,1.000000
15,,2378703547.671384,2638584788.501449,0,121,0,0,yes,1.000000
14,,589388305.364250,662337944.238290,0,45,0,0,yes,1.000000
13,,531788900.982630,663425917.735800,0,89,0,0,yes,1.000000
12,,541919697.265620,656431083.259750,0,67,0,0,yes,1.000000
11,,1015495584.187755,1017255788.832500,0,173,0,0,yes,1.000000
10,,551661937.579320,564763616.881790,0,84,0,0,yes,1.000000
9,,1191423147.546900,1201103095.294470,0,66,0,0,yes,1.000000
8,,1289643311.160406,1693133435.574211,0,174,0,0,yes,1.000000
7,,2171242637.422111,2392110923.973639,0,174,0,0,yes,1.000000
6,,2343689936.523930,3241513028.523448,0,167,0,0,yes,1.000000
5,,1507276552.211417,1540660466.192369,0,85,0,0,yes,1.000000
4,,537709988.218270,580771075.526870,0,51,0,0,yes,1.000000
3,,1382677638.744610,1390280984.736809,0,65,0,0,yes,1.000000
2,,961616721.645475,1152943918.404270,0,117,0,0,yes,1.000000
1,,590592147.143080,662022855.037630,0,47,0,0,yes,1.000000
