"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5497456414.900359,0,126,0,0,yes,1.000000
24,,28046978107.899818,28047188055.902676,0,548,0,0,yes,1.000000
23,,2348993483.112576,2411108331.092311,0,64,0,0,yes,1.000000
22,,16921536531.488951,17017434054.635586,0,383,0,0,yes,1.000000
21,,2211255901.335674,2241014712.185040,0,57,0,0,yes,1.000000
20,,4060630482.754071,4272587926.167400,0,167,0,0,yes,1.000000
19,,3572276779.011707,3600430940.098630,0,98,0,0,yes,1.000000
18,,29962095.938975,36897049.861330,0,15,0,0,yes,1.000000
17,,191115344.410160,285768874.521000,0,8,0,0,yes,1.000000
16,,26801703402.514065,28395972618.772724,0,534,0,0,yes,1.000000
15,,2378703547.671384,2623442038.979959,0,122,0,0,yes,1.000000
14,,589388305.364250,633343453.816890,0,43,0,0,yes,1.000000
13,,531788900.982630,681408230.345170,0,87,0,0,yes,1.000000
12,,541919697.265620,631321405.476540,0,71,0,0,yes,1.000000
11,,1015495584.187755,1030493181.051730,0,173,0,0,yes,1.000000
10,,551661937.579320,553591789.177200,0,88,0,0,yes,1.000000
9,,1191423147.546900,1193418147.373080,0,68,0,0,yes,1.000000
8,,1289643311.160406,1648154744.138181,0,173,0,0,yes,1.000000
7,,2171242637.422111,2298199484.805180,0,171,0,0,yes,1.000000
6,,2343689936.523930,3180695404.565896,0,167,0,0,yes,1.000000
5,,1507276552.211417,1709532079.221669,0,89,0,0,yes,1.000000
4,,537709988.218270,540099264.789080,0,51,0,0,yes,1.000000
3,,1382677638.744610,1412732258.798820,0,63,0,0,yes,1.000000
2,,961616721.645475,1073644436.519990,0,119,0,0,yes,1.000000
1,,590592147.143080,637622158.270530,0,47,0,0,yes,1.000000
