"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,6148551141.763658,0,140,0,0,yes,1.000000
24,,28046978107.899818,28047002854.624355,0,553,0,0,yes,1.000000
23,,2348993483.112576,2501725506.899431,0,61,0,0,yes,1.000000
22,,16921536531.488951,17029628314.257648,0,385,0,0,yes,1.000000
21,,2211255901.335674,2236725213.428699,0,54,0,0,yes,1.000000
20,,4060630482.754071,4170395401.574129,0,171,0,0,yes,1.000000
19,,3572276779.011707,3748936736.812469,0,103,0,0,yes,1.000000
18,,29962095.938975,39942219.630370,0,14,0,0,yes,1.000000
17,,191115344.410160,207957249.235840,0,8,0,0,yes,1.000000
16,,26801703402.514065,28606412388.129219,0,542,0,0,yes,1.000000
15,,2378703547.671384,2736410723.137669,0,124,0,0,yes,1.000000
14,,589388305.364250,634634230.673820,0,46,0,0,yes,1.000000
13,,531788900.982630,665696304.926710,0,92,0,0,yes,1.000000
12,,541919697.265620,611132558.055170,0,67,0,0,yes,1.000000
11,,1015495584.187755,1030939597.804170,0,170,0,0,yes,1.000000
10,,551661937.579320,559352954.222130,0,83,0,0,yes,1.000000
9,,1191423147.546900,1220351463.790040,0,61,0,0,yes,1.000000
8,,1289643311.160406,1656935817.256341,0,171,0,0,yes,1.000000
7,,2171242637.422111,2207945261.155760,0,170,0,0,yes,1.000000
6,,2343689936.523930,3265767897.475097,0,164,0,0,yes,1.000000
5,,1507276552.211417,1629312753.088859,0,84,0,0,yes,1.000000
4,,537709988.218270,570136255.814950,0,51,0,0,yes,1.000000
3,,1382677638.744610,1387330281.023900,0,63,0,0,yes,1.000000
2,,961616721.645475,997895141.898900,0,118,0,0,yes,1.000000
1,,590592147.143080,615522454.855990,0,44,0,0,yes,1.000000
