"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5583454528.282668,0,130,0,0,yes,1.000000
24,,28046978107.899818,28046961865.515453,0,552,0,0,no,0.999999
23,,2348993483.112576,2625195716.667500,0,67,0,0,yes,1.000000
22,,16921536531.488951,16971595320.951023,0,378,0,0,yes,1.000000
21,,2211255901.335674,2284902804.681149,0,54,0,0,yes,1.000000
20,,4060630482.754071,4067669442.416379,0,170,0,0,yes,1.000000
19,,3572276779.011707,3598091724.996090,0,103,0,0,yes,1.000000
18,,29962095.938975,39135704.033700,0,15,0,0,yes,1.000000
17,,191115344.410160,272909153.282720,0,9,0,0,yes,1.000000
16,,26801703402.514065,28586246944.669277,0,540,0,0,yes,1.000000
15,,2378703547.671384,2406818757.177730,0,124,0,0,yes,1.000000
14,,589388305.364250,685246511.223130,0,47,0,0,yes,1.000000
13,,531788900.982630,724645704.684050,0,92,0,0,yes,1.000000
12,,541919697.265620,627613336.200180,0,69,0,0,yes,1.000000
11,,1015495584.187755,1037585937.177230,0,174,0,0,yes,1.000000
10,,551661937.579320,560332216.801250,0,88,0,0,yes,1.000000
9,,1191423147.546900,1223449421.702180,0,69,0,0,yes,1.000000
8,,1289643311.160406,1704684220.220701,0,174,0,0,yes,1.000000
7,,2171242637.422111,2436166745.160170,0,174,0,0,yes,1.000000
6,,2343689936.523930,3220888096.603007,0,168,0,0,yes,1.000000
5,,1507276552.211417,1650258489.443360,0,88,0,0,yes,1.000000
4,,537709988.218270,558303289.547370,0,53,0,0,yes,1.000000
3,,1382677638.744610,1396183284.757300,0,65,0,0,yes,1.000000
2,,961616721.645475,1100469194.181610,0,122,0,0,yes,1.000000
1,,590592147.143080,671482218.881370,0,46,0,0,yes,1.000000
