"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,17859730873.467545,14703426873.467545,544,3156304.000000,18942285.000000,6605611.000000,3156304.000000,9180370.000000,0.348723,0.000000,0.000000,0,1.000000
2,18068194744.389950,14843826744.389950,549,3224368.000000,18942285.000000,6643094.000000,3224368.000000,9074823.000000,0.350702,0.000000,0.000000,0,1.000000
3,17870583528.224152,14685015528.224152,547,3185568.000000,18942285.000000,6617752.000000,3185568.000000,9138965.000000,0.349364,0.000000,0.000000,0,1.000000
4,17963846604.019943,14703387604.019945,542,3260459.000000,18942285.000000,6523754.000000,3260459.000000,9158072.000000,0.344402,0.000000,0.000000,0,1.000000
5,17861757394.041939,14787172394.041941,552,3074585.000000,18942285.000000,6721700.000000,3074585.000000,9146000.000000,0.354852,0.000000,0.000000,0,1.000000
6,17969425004.092541,14779106004.092541,550,3190319.000000,18942285.000000,6684441.000000,3190319.000000,9067525.000000,0.352885,0.000000,0.000000,0,1.000000
7,17682980434.362949,14725376434.362949,544,2957604.000000,18942285.000000,6716275.000000,2957604.000000,9268406.000000,0.354565,0.000000,0.000000,0,1.000000
8,17975034629.072945,14718244629.072945,546,3256790.000000,18942285.000000,6582381.000000,3256790.000000,9103114.000000,0.347497,0.000000,0.000000,0,1.000000
9,17902899433.227951,14772217433.227949,548,3130682.000000,18942285.000000,6664973.000000,3130682.000000,9146630.000000,0.351857,0.000000,0.000000,0,1.000000
10,17930098848.608955,14780177848.608955,545,3149921.000000,18942285.000000,6632968.000000,3149921.000000,9159396.000000,0.350167,0.000000,0.000000,0,1.000000
