PUID,SOLUTION
2,0
22,0
24,0
45,0
46,0
66,1
67,0
68,0
89,1
90,0
91,0
92,0
110,0
111,0
112,0
133,1
134,1
135,0
136,0
154,0
155,0
156,0
157,1
158,0
176,0
177,0
178,1
179,0
180,0
181,0
198,0
199,0
200,1
201,1
202,0
203,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
239,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
259,0
261,1
264,0
265,0
266,0
267,0
268,0
269,0
270,1
281,0
283,0
284,0
286,0
287,0
288,1
289,1
290,0
291,0
292,1
293,1
303,0
305,1
306,0
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,0
322,1
323,0
325,1
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,0
342,0
343,0
344,1
345,1
346,0
347,0
348,1
349,0
350,1
352,0
353,0
354,1
355,0
356,0
357,1
358,1
359,0
360,0
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,1
392,1
393,1
394,1
397,0
398,0
399,0
400,0
401,1
402,1
403,0
404,1
405,1
406,0
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,0
430,1
431,0
432,0
433,0
434,1
435,0
436,1
437,1
438,1
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
