PUID,SOLUTION
2,0
22,0
24,0
45,0
46,0
66,1
67,0
68,0
89,0
90,0
91,0
92,0
110,0
111,0
112,1
133,0
134,1
135,1
136,0
154,0
155,0
156,1
157,0
158,0
176,0
177,0
178,1
179,1
180,0
181,0
198,0
199,0
200,0
201,0
202,1
203,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
239,0
242,0
243,0
244,0
245,0
246,1
247,1
248,0
259,0
261,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
281,0
283,0
284,0
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,0
303,1
305,0
306,0
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,0
322,1
323,0
325,1
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,1
337,1
338,0
342,0
343,1
344,0
345,1
346,0
347,0
348,1
349,1
350,1
352,0
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,1
363,0
364,0
365,0
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,1
411,0
412,0
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,0
436,0
437,1
438,1
441,1
442,0
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,1
