"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5768245301.725051,0,133,0,0,yes,1.000000
24,,28046978107.899818,28046992730.974457,0,550,0,0,yes,1.000000
23,,2348993483.112576,2747948124.205580,0,67,0,0,yes,1.000000
22,,16921536531.488951,16957034758.506229,0,378,0,0,yes,1.000000
21,,2211255901.335674,2270478502.301249,0,52,0,0,yes,1.000000
20,,4060630482.754071,4329751750.993049,0,171,0,0,yes,1.000000
19,,3572276779.011707,3579306025.493621,0,100,0,0,yes,1.000000
18,,29962095.938975,34192617.633780,0,12,0,0,yes,1.000000
17,,191115344.410160,278644137.824710,0,9,0,0,yes,1.000000
16,,26801703402.514065,28614656942.168224,0,540,0,0,yes,1.000000
15,,2378703547.671384,2659208423.135720,0,119,0,0,yes,1.000000
14,,589388305.364250,635528448.459440,0,45,0,0,yes,1.000000
13,,531788900.982630,684707465.342240,0,92,0,0,yes,1.000000
12,,541919697.265620,641103267.550280,0,69,0,0,yes,1.000000
11,,1015495584.187755,1019713563.572740,0,171,0,0,yes,1.000000
10,,551661937.579320,562033247.433570,0,84,0,0,yes,1.000000
9,,1191423147.546900,1192212911.008340,0,65,0,0,yes,1.000000
8,,1289643311.160406,1679612053.278311,0,173,0,0,yes,1.000000
7,,2171242637.422111,2253606086.277359,0,173,0,0,yes,1.000000
6,,2343689936.523930,3285760733.552707,0,165,0,0,yes,1.000000
5,,1507276552.211417,1610515650.053219,0,85,0,0,yes,1.000000
4,,537709988.218270,545737531.536630,0,52,0,0,yes,1.000000
3,,1382677638.744610,1397751042.942861,0,65,0,0,yes,1.000000
2,,961616721.645475,1000796223.598100,0,114,0,0,yes,1.000000
1,,590592147.143080,624368372.059100,0,43,0,0,yes,1.000000
