"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,17672846847.637989,14668790197.937548,547,3002772.000000,18942285.000000,6687094.000000,3002772.000000,9252419.000000,0.353025,1284649.700445,74010.944820,1,0.999875
2,18057898370.457947,14667346370.457945,546,3390552.000000,18942285.000000,6500796.000000,3390552.000000,9050937.000000,0.343190,0.000000,0.000000,0,1.000000
3,17816131106.461952,14734202106.461950,546,3081929.000000,18942285.000000,6679906.000000,3081929.000000,9180450.000000,0.352645,0.000000,0.000000,0,1.000000
4,17784171982.797947,14758728982.797947,545,3025443.000000,18942285.000000,6699642.000000,3025443.000000,9217200.000000,0.353687,0.000000,0.000000,0,1.000000
5,17832448830.429150,14714101830.429150,545,3118347.000000,18942285.000000,6632859.000000,3118347.000000,9191079.000000,0.350162,0.000000,0.000000,0,1.000000
6,17810856742.673546,14729895742.673546,551,3080961.000000,18942285.000000,6749344.000000,3080961.000000,9111980.000000,0.356311,0.000000,0.000000,0,1.000000
7,17795006971.491547,14668805971.491547,542,3126201.000000,18942285.000000,6586018.000000,3126201.000000,9230066.000000,0.347689,0.000000,0.000000,0,1.000000
8,17973320306.276939,14847866306.276941,546,3125454.000000,18942285.000000,6670399.000000,3125454.000000,9146432.000000,0.352143,0.000000,0.000000,0,1.000000
9,17959449252.715366,14746430942.707548,553,3209541.000000,18942285.000000,6664777.000000,3209541.000000,9067967.000000,0.351847,3477310.007815,252377.846436,1,0.999893
10,17796715974.512939,14810654974.512941,545,2986061.000000,18942285.000000,6723481.000000,2986061.000000,9232743.000000,0.354946,0.000000,0.000000,0,1.000000
