"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,14887901355.623758,14229751248.754993,564,6579228.000000,18942285.000000,5267813.000000,6579228.000000,7095244.000000,0.278098,227306.868764,30126.977305,1,0.999987
2,14924444870.419704,14240589170.419704,572,6838557.000000,18942285.000000,5289282.000000,6838557.000000,6814446.000000,0.279231,0.000000,0.000000,0,1.000000
3,14948378930.047354,14292842730.047354,566,6555362.000000,18942285.000000,5325516.000000,6555362.000000,7061407.000000,0.281144,0.000000,0.000000,0,1.000000
4,14903177371.451548,14234179771.451548,562,6689976.000000,18942285.000000,5238531.000000,6689976.000000,7013778.000000,0.276552,0.000000,0.000000,0,1.000000
5,14909662633.999149,14234199233.999149,564,6754634.000000,18942285.000000,5299207.000000,6754634.000000,6888444.000000,0.279755,0.000000,0.000000,0,1.000000
6,15017026326.750750,14329159926.750750,568,6878664.000000,18942285.000000,5293421.000000,6878664.000000,6770200.000000,0.279450,0.000000,0.000000,0,1.000000
7,14927038214.487648,14241266614.487648,568,6857716.000000,18942285.000000,5196138.000000,6857716.000000,6888431.000000,0.274314,0.000000,0.000000,0,1.000000
8,14971477868.282553,14323968068.282553,559,6475098.000000,18942285.000000,5360393.000000,6475098.000000,7106794.000000,0.282986,0.000000,0.000000,0,1.000000
9,14989126761.878494,14335560361.878494,569,6535664.000000,18942285.000000,5400797.000000,6535664.000000,7005824.000000,0.285119,0.000000,0.000000,0,1.000000
10,14960893488.445889,14305472188.445889,560,6554213.000000,18942285.000000,5285202.000000,6554213.000000,7102870.000000,0.279016,0.000000,0.000000,0,1.000000
