"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5906394320.883239,0,123,0,0,yes,1.000000
24,,28046978107.899818,28047224201.075920,0,530,0,0,yes,1.000000
23,,2348993483.112576,2362444229.342781,0,54,0,0,yes,1.000000
22,,16921536531.488951,16956425695.456427,0,361,0,0,yes,1.000000
21,,2211255901.335674,2457949523.145000,0,57,0,0,yes,1.000000
20,,4060630482.754071,4070227840.351490,0,139,0,0,yes,1.000000
19,,3572276779.011707,3579351585.751461,0,108,0,0,yes,1.000000
18,,29962095.938975,38827927.654790,0,7,0,0,yes,1.000000
17,,191115344.410160,354587391.673830,0,11,0,0,yes,1.000000
16,,26801703402.514065,28086028658.697056,0,517,0,0,yes,1.000000
15,,2378703547.671384,2913318205.535619,0,119,0,0,yes,1.000000
14,,589388305.364250,850506993.434580,0,51,0,0,yes,1.000000
13,,531788900.982630,765035748.727980,0,91,0,0,yes,1.000000
12,,541919697.265620,624423191.331040,0,69,0,0,yes,1.000000
11,,1015495584.187755,1016676226.494140,0,172,0,0,yes,1.000000
10,,551661937.579320,552550153.762630,0,82,0,0,yes,1.000000
9,,1191423147.546900,1212012061.097650,0,62,0,0,yes,1.000000
8,,1289643311.160406,1685567894.281231,0,175,0,0,yes,1.000000
7,,2171242637.422111,2313027624.318829,0,175,0,0,yes,1.000000
6,,2343689936.523930,3326175109.058577,0,166,0,0,yes,1.000000
5,,1507276552.211417,1517211071.860360,0,83,0,0,yes,1.000000
4,,537709988.218270,556080102.818340,0,57,0,0,yes,1.000000
3,,1382677638.744610,1727928352.882320,0,73,0,0,yes,1.000000
2,,961616721.645475,1153042892.029300,0,116,0,0,yes,1.000000
1,,590592147.143080,730906511.641140,0,44,0,0,yes,1.000000
