"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5600834026.149349,0,127,0,0,yes,1.000000
24,,28046978107.899818,28046965327.980274,0,553,0,0,no,1.000000
23,,2348993483.112576,2522155866.689960,0,67,0,0,yes,1.000000
22,,16921536531.488951,17009557181.854883,0,380,0,0,yes,1.000000
21,,2211255901.335674,2347462653.587399,0,56,0,0,yes,1.000000
20,,4060630482.754071,4286158722.146911,0,170,0,0,yes,1.000000
19,,3572276779.011707,3615256471.835440,0,98,0,0,yes,1.000000
18,,29962095.938975,36113582.990250,0,15,0,0,yes,1.000000
17,,191115344.410160,239226960.558600,0,10,0,0,yes,1.000000
16,,26801703402.514065,28413331093.052998,0,538,0,0,yes,1.000000
15,,2378703547.671384,2579655002.589819,0,114,0,0,yes,1.000000
14,,589388305.364250,826609011.299780,0,50,0,0,yes,1.000000
13,,531788900.982630,749031364.488720,0,89,0,0,yes,1.000000
12,,541919697.265620,620170180.686500,0,69,0,0,yes,1.000000
11,,1015495584.187755,1052954659.833470,0,175,0,0,yes,1.000000
10,,551661937.579320,553463156.975540,0,87,0,0,yes,1.000000
9,,1191423147.546900,1194355376.534200,0,66,0,0,yes,1.000000
8,,1289643311.160406,1707222337.474611,0,175,0,0,yes,1.000000
7,,2171242637.422111,2230454898.080580,0,175,0,0,yes,1.000000
6,,2343689936.523930,3294222077.314938,0,169,0,0,yes,1.000000
5,,1507276552.211417,1682521600.140629,0,88,0,0,yes,1.000000
4,,537709988.218270,550934240.478050,0,57,0,0,yes,1.000000
3,,1382677638.744610,1383795505.459920,0,67,0,0,yes,1.000000
2,,961616721.645475,1034628366.267580,0,111,0,0,yes,1.000000
1,,590592147.143080,642383635.421400,0,48,0,0,yes,1.000000
