"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,17947125091.501945,14824889091.501947,544,3122236.000000,18942285.000000,6636952.000000,3122236.000000,9183097.000000,0.350378,0.000000,0.000000,0,1.000000
2,17882702208.652946,14830310208.652946,547,3052392.000000,18942285.000000,6719962.000000,3052392.000000,9169931.000000,0.354760,0.000000,0.000000,0,1.000000
3,17997879953.892952,14756332953.892952,548,3241547.000000,18942285.000000,6621661.000000,3241547.000000,9079077.000000,0.349570,0.000000,0.000000,0,1.000000
4,17819994222.949242,14795484222.949240,544,3024510.000000,18942285.000000,6671984.000000,3024510.000000,9245791.000000,0.352227,0.000000,0.000000,0,1.000000
5,17700356904.653069,14741615453.719950,543,2952725.000000,18942285.000000,6708183.000000,2952725.000000,9281377.000000,0.354138,6016450.933120,54039.321564,1,0.999947
6,17767887618.904945,14817006618.904945,549,2950881.000000,18942285.000000,6788753.000000,2950881.000000,9202651.000000,0.358391,0.000000,0.000000,0,1.000000
7,17716098299.364952,14652862299.364950,541,3063236.000000,18942285.000000,6621644.000000,3063236.000000,9257405.000000,0.349569,0.000000,0.000000,0,1.000000
8,17862609306.282944,14819529306.282942,550,3043080.000000,18942285.000000,6756058.000000,3043080.000000,9143147.000000,0.356665,0.000000,0.000000,0,1.000000
9,17721049184.411549,14904187184.411549,549,2816862.000000,18942285.000000,6809167.000000,2816862.000000,9316256.000000,0.359469,0.000000,0.000000,0,1.000000
10,17794970907.992950,14785936907.992949,545,3009034.000000,18942285.000000,6708955.000000,3009034.000000,9224296.000000,0.354179,0.000000,0.000000,0,1.000000
