"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5502737812.011199,0,123,0,0,yes,1.000000
24,,28046978107.899818,28047205129.671711,0,540,0,0,yes,1.000000
23,,2348993483.112576,2589214517.793481,0,62,0,0,yes,1.000000
22,,16921536531.488951,17021790012.606308,0,371,0,0,yes,1.000000
21,,2211255901.335674,2227940513.358880,0,56,0,0,yes,1.000000
20,,4060630482.754071,4063323917.734270,0,160,0,0,yes,1.000000
19,,3572276779.011707,3575151812.228540,0,101,0,0,yes,1.000000
18,,29962095.938975,35270708.928710,0,11,0,0,yes,1.000000
17,,191115344.410160,290711149.583500,0,10,0,0,yes,1.000000
16,,26801703402.514065,28278055242.908466,0,521,0,0,yes,1.000000
15,,2378703547.671384,2453050146.099120,0,122,0,0,yes,1.000000
14,,589388305.364250,696508131.850080,0,47,0,0,yes,1.000000
13,,531788900.982630,651698089.658160,0,86,0,0,yes,1.000000
12,,541919697.265620,679251663.181620,0,68,0,0,yes,1.000000
11,,1015495584.187755,1084258006.115210,0,174,0,0,yes,1.000000
10,,551661937.579320,579195350.502890,0,85,0,0,yes,1.000000
9,,1191423147.546900,1196693257.677270,0,64,0,0,yes,1.000000
8,,1289643311.160406,1674099336.991211,0,175,0,0,yes,1.000000
7,,2171242637.422111,2291528406.303229,0,175,0,0,yes,1.000000
6,,2343689936.523930,3258699444.040028,0,168,0,0,yes,1.000000
5,,1507276552.211417,1626596187.997539,0,85,0,0,yes,1.000000
4,,537709988.218270,547235902.603530,0,51,0,0,yes,1.000000
3,,1382677638.744610,1449056112.961880,0,66,0,0,yes,1.000000
2,,961616721.645475,1267132735.331040,0,117,0,0,yes,1.000000
1,,590592147.143080,608457112.993180,0,46,0,0,yes,1.000000
