"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5512854949.739202,0,118,0,0,yes,1.000000
24,,28046978107.899818,28072321253.270748,0,526,0,0,yes,1.000000
23,,2348993483.112576,2364105138.173360,0,52,0,0,yes,1.000000
22,,16921536531.488951,16973765743.518444,0,355,0,0,yes,1.000000
21,,2211255901.335674,2478180412.227530,0,53,0,0,yes,1.000000
20,,4060630482.754071,4064993749.204031,0,141,0,0,yes,1.000000
19,,3572276779.011707,3572974881.454091,0,110,0,0,yes,1.000000
18,,29962095.938975,38367674.597170,0,7,0,0,yes,1.000000
17,,191115344.410160,356949041.057130,0,12,0,0,yes,1.000000
16,,26801703402.514065,27346295288.969986,0,499,0,0,yes,1.000000
15,,2378703547.671384,2597804101.610819,0,120,0,0,yes,1.000000
14,,589388305.364250,933920643.584980,0,58,0,0,yes,1.000000
13,,531788900.982630,756494124.029250,0,91,0,0,yes,1.000000
12,,541919697.265620,719498532.174300,0,73,0,0,yes,1.000000
11,,1015495584.187755,1025110629.370100,0,171,0,0,yes,1.000000
10,,551661937.579320,563890474.787540,0,85,0,0,yes,1.000000
9,,1191423147.546900,1286057712.762210,0,67,0,0,yes,1.000000
8,,1289643311.160406,1659095180.538581,0,173,0,0,yes,1.000000
7,,2171242637.422111,2344874000.420420,0,173,0,0,yes,1.000000
6,,2343689936.523930,3190795749.244128,0,165,0,0,yes,1.000000
5,,1507276552.211417,1523115685.058109,0,86,0,0,yes,1.000000
4,,537709988.218270,568634836.041010,0,54,0,0,yes,1.000000
3,,1382677638.744610,1434615378.179190,0,68,0,0,yes,1.000000
2,,961616721.645475,1329125093.879390,0,118,0,0,yes,1.000000
1,,590592147.143080,616700744.986830,0,40,0,0,yes,1.000000
