"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5980797929.468700,0,122,0,0,yes,1.000000
24,,28046978107.899818,28064808881.077412,0,528,0,0,yes,1.000000
23,,2348993483.112576,2375656244.529321,0,56,0,0,yes,1.000000
22,,16921536531.488951,16921566050.188379,0,361,0,0,yes,1.000000
21,,2211255901.335674,2736841675.587380,0,62,0,0,yes,1.000000
20,,4060630482.754071,4069577807.394940,0,142,0,0,yes,1.000000
19,,3572276779.011707,3719350702.564920,0,105,0,0,yes,1.000000
18,,29962095.938975,37756410.805670,0,5,0,0,yes,1.000000
17,,191115344.410160,356949041.057130,0,12,0,0,yes,1.000000
16,,26801703402.514065,27448047727.207802,0,501,0,0,yes,1.000000
15,,2378703547.671384,3150882184.602498,0,129,0,0,yes,1.000000
14,,589388305.364250,788087464.800290,0,42,0,0,yes,1.000000
13,,531788900.982630,727307296.443310,0,89,0,0,yes,1.000000
12,,541919697.265620,605828814.364730,0,70,0,0,yes,1.000000
11,,1015495584.187755,1017671952.284640,0,169,0,0,yes,1.000000
10,,551661937.579320,554011407.462830,0,84,0,0,yes,1.000000
9,,1191423147.546900,1240633981.520040,0,61,0,0,yes,1.000000
8,,1289643311.160406,1658049637.725111,0,171,0,0,yes,1.000000
7,,2171242637.422111,2265082834.323260,0,170,0,0,yes,1.000000
6,,2343689936.523930,3225123533.287598,0,163,0,0,yes,1.000000
5,,1507276552.211417,1613152123.540049,0,85,0,0,yes,1.000000
4,,537709988.218270,617322994.864270,0,56,0,0,yes,1.000000
3,,1382677638.744610,1525133863.533210,0,69,0,0,yes,1.000000
2,,961616721.645475,1355494920.486820,0,127,0,0,yes,1.000000
1,,590592147.143080,664941871.017110,0,45,0,0,yes,1.000000
