"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5570891432.227987,0,133,0,0,yes,1.000000
24,,28046978107.899818,28046968074.379223,0,550,0,0,no,1.000000
23,,2348993483.112576,2631227470.926771,0,66,0,0,yes,1.000000
22,,16921536531.488951,16979758781.259109,0,383,0,0,yes,1.000000
21,,2211255901.335674,2439852962.818840,0,59,0,0,yes,1.000000
20,,4060630482.754071,4141579663.883711,0,168,0,0,yes,1.000000
19,,3572276779.011707,3587684927.052730,0,98,0,0,yes,1.000000
18,,29962095.938975,39264351.225590,0,17,0,0,yes,1.000000
17,,191115344.410160,202333524.455080,0,7,0,0,yes,1.000000
16,,26801703402.514065,28495656151.320641,0,537,0,0,yes,1.000000
15,,2378703547.671384,2469711050.479958,0,114,0,0,yes,1.000000
14,,589388305.364250,695558822.626450,0,44,0,0,yes,1.000000
13,,531788900.982630,604298852.070280,0,88,0,0,yes,1.000000
12,,541919697.265620,617387632.234840,0,65,0,0,yes,1.000000
11,,1015495584.187755,1052066904.999490,0,172,0,0,yes,1.000000
10,,551661937.579320,567438590.221640,0,84,0,0,yes,1.000000
9,,1191423147.546900,1213897448.525890,0,66,0,0,yes,1.000000
8,,1289643311.160406,1673011795.624531,0,174,0,0,yes,1.000000
7,,2171242637.422111,2351723547.623550,0,174,0,0,yes,1.000000
6,,2343689936.523930,3213323798.458977,0,166,0,0,yes,1.000000
5,,1507276552.211417,1645360657.954109,0,86,0,0,yes,1.000000
4,,537709988.218270,539691882.047340,0,52,0,0,yes,1.000000
3,,1382677638.744610,1412306918.710460,0,63,0,0,yes,1.000000
2,,961616721.645475,1067408326.186000,0,109,0,0,yes,1.000000
1,,590592147.143080,634954663.438480,0,48,0,0,yes,1.000000
