"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5561732551.479939,0,130,0,0,yes,1.000000
24,,28046978107.899818,28047431995.039383,0,548,0,0,yes,1.000000
23,,2348993483.112576,2623626897.920421,0,67,0,0,yes,1.000000
22,,16921536531.488951,17201532315.281075,0,373,0,0,yes,1.000000
21,,2211255901.335674,2240770294.761699,0,57,0,0,yes,1.000000
20,,4060630482.754071,4063586396.221591,0,160,0,0,yes,1.000000
19,,3572276779.011707,3650411556.040509,0,104,0,0,yes,1.000000
18,,29962095.938975,34749654.569340,0,12,0,0,yes,1.000000
17,,191115344.410160,270547503.899420,0,8,0,0,yes,1.000000
16,,26801703402.514065,28545627499.804501,0,535,0,0,yes,1.000000
15,,2378703547.671384,2651098043.540019,0,114,0,0,yes,1.000000
14,,589388305.364250,728115486.181620,0,45,0,0,yes,1.000000
13,,531788900.982630,736906102.315860,0,89,0,0,yes,1.000000
12,,541919697.265620,637107056.531720,0,73,0,0,yes,1.000000
11,,1015495584.187755,1039440391.379380,0,175,0,0,yes,1.000000
10,,551661937.579320,573984012.339320,0,88,0,0,yes,1.000000
9,,1191423147.546900,1201403802.568860,0,62,0,0,yes,1.000000
8,,1289643311.160406,1663574235.703121,0,177,0,0,yes,1.000000
7,,2171242637.422111,2218048185.117680,0,175,0,0,yes,1.000000
6,,2343689936.523930,3305811922.163558,0,169,0,0,yes,1.000000
5,,1507276552.211417,1678793955.511709,0,88,0,0,yes,1.000000
4,,537709988.218270,539808354.135750,0,59,0,0,yes,1.000000
3,,1382677638.744610,1535708190.404290,0,69,0,0,yes,1.000000
2,,961616721.645475,1031299794.917450,0,111,0,0,yes,1.000000
1,,590592147.143080,599679540.014660,0,47,0,0,yes,1.000000
