"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5815146624.695249,0,128,0,0,yes,1.000000
24,,28046978107.899818,28047103776.360138,0,530,0,0,yes,1.000000
23,,2348993483.112576,2350144663.519061,0,56,0,0,yes,1.000000
22,,16921536531.488951,16944007927.257690,0,362,0,0,yes,1.000000
21,,2211255901.335674,3067673799.887670,0,72,0,0,yes,1.000000
20,,4060630482.754071,4111003184.658620,0,147,0,0,yes,1.000000
19,,3572276779.011707,3576286452.801729,0,101,0,0,yes,1.000000
18,,29962095.938975,37902965.409670,0,6,0,0,yes,1.000000
17,,191115344.410160,356949041.057130,0,12,0,0,yes,1.000000
16,,26801703402.514065,27627097045.053474,0,502,0,0,yes,1.000000
15,,2378703547.671384,2731083595.390129,0,116,0,0,yes,1.000000
14,,589388305.364250,836654346.483890,0,48,0,0,yes,1.000000
13,,531788900.982630,698191510.394970,0,84,0,0,yes,1.000000
12,,541919697.265620,721361336.730940,0,75,0,0,yes,1.000000
11,,1015495584.187755,1016857845.698710,0,171,0,0,yes,1.000000
10,,551661937.579320,557697301.114220,0,86,0,0,yes,1.000000
9,,1191423147.546900,1429067614.784709,0,79,0,0,yes,1.000000
8,,1289643311.160406,1630211300.472661,0,173,0,0,yes,1.000000
7,,2171242637.422111,2236816666.695330,0,172,0,0,yes,1.000000
6,,2343689936.523930,3260459271.750478,0,165,0,0,yes,1.000000
5,,1507276552.211417,1538449055.099609,0,85,0,0,yes,1.000000
4,,537709988.218270,543597755.320810,0,53,0,0,yes,1.000000
3,,1382677638.744610,1403183012.821790,0,65,0,0,yes,1.000000
2,,961616721.645475,1437471052.688980,0,115,0,0,yes,1.000000
1,,590592147.143080,708022981.531280,0,46,0,0,yes,1.000000
