"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5706241783.226988,0,135,0,0,yes,1.000000
24,,28046978107.899818,28047491256.268890,0,554,0,0,yes,1.000000
23,,2348993483.112576,2625267703.340850,0,65,0,0,yes,1.000000
22,,16921536531.488951,16931176937.924677,0,378,0,0,yes,1.000000
21,,2211255901.335674,2226187296.976080,0,50,0,0,yes,1.000000
20,,4060630482.754071,4060575125.794310,0,169,0,0,no,0.999986
19,,3572276779.011707,3603449984.144050,0,98,0,0,yes,1.000000
18,,29962095.938975,41202246.603040,0,16,0,0,yes,1.000000
17,,191115344.410160,223516173.094240,0,8,0,0,yes,1.000000
16,,26801703402.514065,28574300015.304962,0,540,0,0,yes,1.000000
15,,2378703547.671384,2483781281.468729,0,115,0,0,yes,1.000000
14,,589388305.364250,665508046.027820,0,47,0,0,yes,1.000000
13,,531788900.982630,748412044.822240,0,94,0,0,yes,1.000000
12,,541919697.265620,659131763.311040,0,72,0,0,yes,1.000000
11,,1015495584.187755,1062297301.139630,0,178,0,0,yes,1.000000
10,,551661937.579320,563932074.316840,0,88,0,0,yes,1.000000
9,,1191423147.546900,1240579556.873070,0,66,0,0,yes,1.000000
8,,1289643311.160406,1700467293.613281,0,179,0,0,yes,1.000000
7,,2171242637.422111,2346587447.218780,0,178,0,0,yes,1.000000
6,,2343689936.523930,3273950304.151816,0,172,0,0,yes,1.000000
5,,1507276552.211417,1610028058.259769,0,88,0,0,yes,1.000000
4,,537709988.218270,560265072.237800,0,51,0,0,yes,1.000000
3,,1382677638.744610,1403296294.749510,0,65,0,0,yes,1.000000
2,,961616721.645475,1052540030.461440,0,113,0,0,yes,1.000000
1,,590592147.143080,638132103.806660,0,45,0,0,yes,1.000000
