"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5739161368.313408,0,120,0,0,yes,1.000000
24,,28046978107.899818,28050574473.928986,0,528,0,0,yes,1.000000
23,,2348993483.112576,2357410256.930690,0,57,0,0,yes,1.000000
22,,16921536531.488951,17078768103.910515,0,364,0,0,yes,1.000000
21,,2211255901.335674,2376125134.203110,0,56,0,0,yes,1.000000
20,,4060630482.754071,4064556230.272882,0,146,0,0,yes,1.000000
19,,3572276779.011707,3572392821.938950,0,110,0,0,yes,1.000000
18,,29962095.938975,38136187.187990,0,6,0,0,yes,1.000000
17,,191115344.410160,203014974.173340,0,6,0,0,yes,1.000000
16,,26801703402.514065,27629997973.236103,0,505,0,0,yes,1.000000
15,,2378703547.671384,2475579458.918448,0,105,0,0,yes,1.000000
14,,589388305.364250,831463935.510740,0,51,0,0,yes,1.000000
13,,531788900.982630,681206550.504820,0,90,0,0,yes,1.000000
12,,541919697.265620,659728358.202630,0,68,0,0,yes,1.000000
11,,1015495584.187755,1039899260.920380,0,169,0,0,yes,1.000000
10,,551661937.579320,552714012.312430,0,81,0,0,yes,1.000000
9,,1191423147.546900,1348413177.599140,0,72,0,0,yes,1.000000
8,,1289643311.160406,1646711019.060071,0,172,0,0,yes,1.000000
7,,2171242637.422111,2201935417.315430,0,171,0,0,yes,1.000000
6,,2343689936.523930,3199308757.927228,0,163,0,0,yes,1.000000
5,,1507276552.211417,1531380949.009279,0,81,0,0,yes,1.000000
4,,537709988.218270,567833152.551250,0,49,0,0,yes,1.000000
3,,1382677638.744610,1449403705.206070,0,68,0,0,yes,1.000000
2,,961616721.645475,1241326115.920420,0,105,0,0,yes,1.000000
1,,590592147.143080,689235628.979990,0,45,0,0,yes,1.000000
