"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5548666801.729448,0,120,0,0,yes,1.000000
24,,28046978107.899818,28046988955.152103,0,530,0,0,yes,1.000000
23,,2348993483.112576,2356160401.473640,0,53,0,0,yes,1.000000
22,,16921536531.488951,17018315739.627287,0,362,0,0,yes,1.000000
21,,2211255901.335674,2628841067.024880,0,63,0,0,yes,1.000000
20,,4060630482.754071,4119808920.416429,0,148,0,0,yes,1.000000
19,,3572276779.011707,3688583008.547331,0,108,0,0,yes,1.000000
18,,29962095.938975,38448151.272470,0,6,0,0,yes,1.000000
17,,191115344.410160,356949041.057130,0,12,0,0,yes,1.000000
16,,26801703402.514065,27463563239.688271,0,504,0,0,yes,1.000000
15,,2378703547.671384,3165953688.163059,0,130,0,0,yes,1.000000
14,,589388305.364250,841065471.081520,0,54,0,0,yes,1.000000
13,,531788900.982630,698442181.043900,0,89,0,0,yes,1.000000
12,,541919697.265620,645208206.653790,0,71,0,0,yes,1.000000
11,,1015495584.187755,1020669844.221650,0,167,0,0,yes,1.000000
10,,551661937.579320,553485836.982860,0,82,0,0,yes,1.000000
9,,1191423147.546900,1257489986.276400,0,68,0,0,yes,1.000000
8,,1289643311.160406,1662782540.322751,0,170,0,0,yes,1.000000
7,,2171242637.422111,2173010779.459470,0,170,0,0,yes,1.000000
6,,2343689936.523930,3281610596.008297,0,161,0,0,yes,1.000000
5,,1507276552.211417,1540051756.616220,0,83,0,0,yes,1.000000
4,,537709988.218270,572587136.806160,0,59,0,0,yes,1.000000
3,,1382677638.744610,1479875669.549290,0,69,0,0,yes,1.000000
2,,961616721.645475,1488311669.385760,0,129,0,0,yes,1.000000
1,,590592147.143080,594351247.874040,0,40,0,0,yes,1.000000
