"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5826110842.171317,0,131,0,0,yes,1.000000
24,,28046978107.899818,28047004635.216103,0,552,0,0,yes,1.000000
23,,2348993483.112576,2563270043.323269,0,65,0,0,yes,1.000000
22,,16921536531.488951,16936169524.479328,0,378,0,0,yes,1.000000
21,,2211255901.335674,2436080608.028309,0,58,0,0,yes,1.000000
20,,4060630482.754071,4117782391.793370,0,172,0,0,yes,1.000000
19,,3572276779.011707,3591540510.042450,0,105,0,0,yes,1.000000
18,,29962095.938975,34808800.695790,0,11,0,0,yes,1.000000
17,,191115344.410160,278644137.824710,0,9,0,0,yes,1.000000
16,,26801703402.514065,28214982939.904575,0,536,0,0,yes,1.000000
15,,2378703547.671384,2735594858.328109,0,123,0,0,yes,1.000000
14,,589388305.364250,717304874.716290,0,48,0,0,yes,1.000000
13,,531788900.982630,693031384.593720,0,92,0,0,yes,1.000000
12,,541919697.265620,616140995.591780,0,69,0,0,yes,1.000000
11,,1015495584.187755,1038003799.517550,0,174,0,0,yes,1.000000
10,,551661937.579320,551943415.210420,0,90,0,0,yes,1.000000
9,,1191423147.546900,1221643302.396000,0,65,0,0,yes,1.000000
8,,1289643311.160406,1668939350.342291,0,176,0,0,yes,1.000000
7,,2171242637.422111,2269681265.132830,0,175,0,0,yes,1.000000
6,,2343689936.523930,3221286171.548808,0,168,0,0,yes,1.000000
5,,1507276552.211417,1677449228.394519,0,91,0,0,yes,1.000000
4,,537709988.218270,556231824.113300,0,52,0,0,yes,1.000000
3,,1382677638.744610,1417616260.366180,0,65,0,0,yes,1.000000
2,,961616721.645475,1128842267.867160,0,118,0,0,yes,1.000000
1,,590592147.143080,602633695.953140,0,43,0,0,yes,1.000000
