"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,17950720786.764942,14753410786.764942,551,3197310.000000,18942285.000000,6672533.000000,3197310.000000,9072442.000000,0.352256,0.000000,0.000000,0,1.000000
2,17986068932.736244,14713791932.736246,552,3272277.000000,18942285.000000,6637736.000000,3272277.000000,9032272.000000,0.350419,0.000000,0.000000,0,1.000000
3,18011447055.217545,14816558055.217543,546,3194889.000000,18942285.000000,6610178.000000,3194889.000000,9137218.000000,0.348964,0.000000,0.000000,0,1.000000
4,17573338396.367947,14802100396.367947,548,2771238.000000,18942285.000000,6866351.000000,2771238.000000,9304696.000000,0.362488,0.000000,0.000000,0,1.000000
5,17904583054.761948,14774248054.761948,548,3130335.000000,18942285.000000,6691596.000000,3130335.000000,9120354.000000,0.353262,0.000000,0.000000,0,1.000000
6,17767973295.418953,14802368295.418955,546,2965605.000000,18942285.000000,6733972.000000,2965605.000000,9242708.000000,0.355499,0.000000,0.000000,0,1.000000
7,17874905496.429947,14815949496.429945,552,3058956.000000,18942285.000000,6737826.000000,3058956.000000,9145503.000000,0.355703,0.000000,0.000000,0,1.000000
8,17884743465.550949,14720286465.550951,543,3164457.000000,18942285.000000,6603824.000000,3164457.000000,9174004.000000,0.348629,0.000000,0.000000,0,1.000000
9,17825184356.128944,14713803356.128946,546,3111381.000000,18942285.000000,6642816.000000,3111381.000000,9188088.000000,0.350687,0.000000,0.000000,0,1.000000
10,17858360983.540550,14689191983.540550,546,3169169.000000,18942285.000000,6628301.000000,3169169.000000,9144815.000000,0.349921,0.000000,0.000000,0,1.000000
