"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,17790576142.445545,14820539142.445545,549,2970037.000000,18942285.000000,6769969.000000,2970037.000000,9202279.000000,0.357400,0.000000,0.000000,0,1.000000
2,17720460528.465950,14774338528.465950,543,2946122.000000,18942285.000000,6723075.000000,2946122.000000,9273088.000000,0.354924,0.000000,0.000000,0,1.000000
3,17769561170.272949,14764397170.272947,544,3005164.000000,18942285.000000,6701490.000000,3005164.000000,9235631.000000,0.353785,0.000000,0.000000,0,1.000000
4,17829550026.919548,14795877026.919546,553,3033673.000000,18942285.000000,6744928.000000,3033673.000000,9163684.000000,0.356078,0.000000,0.000000,0,1.000000
5,17917055082.715950,14843890082.715948,547,3073165.000000,18942285.000000,6723623.000000,3073165.000000,9145497.000000,0.354953,0.000000,0.000000,0,1.000000
6,17784002957.394150,14766338957.394150,549,3017664.000000,18942285.000000,6727002.000000,3017664.000000,9197619.000000,0.355131,0.000000,0.000000,0,1.000000
7,17875143866.566948,14788880866.566948,542,3086263.000000,18942285.000000,6631743.000000,3086263.000000,9224279.000000,0.350103,0.000000,0.000000,0,1.000000
8,17930122278.159950,14840015278.159948,545,3090107.000000,18942285.000000,6674840.000000,3090107.000000,9177338.000000,0.352378,0.000000,0.000000,0,1.000000
9,17853705966.939545,14839817966.939545,550,3013888.000000,18942285.000000,6759479.000000,3013888.000000,9168918.000000,0.356846,0.000000,0.000000,0,1.000000
10,17809533517.431946,14826829517.431948,547,2982704.000000,18942285.000000,6734761.000000,2982704.000000,9224820.000000,0.355541,0.000000,0.000000,0,1.000000
