"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5869623295.977028,0,133,0,0,yes,1.000000
24,,28046978107.899818,28046975231.039391,0,551,0,0,no,1.000000
23,,2348993483.112576,2548766539.581561,0,64,0,0,yes,1.000000
22,,16921536531.488951,16948638113.338272,0,376,0,0,yes,1.000000
21,,2211255901.335674,2217064878.134269,0,56,0,0,yes,1.000000
20,,4060630482.754071,4300568370.809479,0,171,0,0,yes,1.000000
19,,3572276779.011707,3586998602.131820,0,102,0,0,yes,1.000000
18,,29962095.938975,39215850.256370,0,17,0,0,yes,1.000000
17,,191115344.410160,227378834.393070,0,7,0,0,yes,1.000000
16,,26801703402.514065,28575173097.407497,0,533,0,0,yes,1.000000
15,,2378703547.671384,2539451751.962879,0,120,0,0,yes,1.000000
14,,589388305.364250,734496140.262680,0,53,0,0,yes,1.000000
13,,531788900.982630,664438579.938940,0,85,0,0,yes,1.000000
12,,541919697.265620,635578350.772470,0,66,0,0,yes,1.000000
11,,1015495584.187755,1092339084.010720,0,175,0,0,yes,1.000000
10,,551661937.579320,566217709.935010,0,84,0,0,yes,1.000000
9,,1191423147.546900,1204908336.540540,0,64,0,0,yes,1.000000
8,,1289643311.160406,1689311693.393561,0,177,0,0,yes,1.000000
7,,2171242637.422111,2251972154.090819,0,176,0,0,yes,1.000000
6,,2343689936.523930,3235136805.635728,0,169,0,0,yes,1.000000
5,,1507276552.211417,1549044769.095700,0,85,0,0,yes,1.000000
4,,537709988.218270,555028898.380360,0,52,0,0,yes,1.000000
3,,1382677638.744610,1400269200.384280,0,64,0,0,yes,1.000000
2,,961616721.645475,1062596535.780280,0,116,0,0,yes,1.000000
1,,590592147.143080,625269104.287630,0,46,0,0,yes,1.000000
