"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,5482341534.040006,5859851550.746050,0,130,0,0,yes,1.000000
24,,28046978107.899818,28047492247.879253,0,541,0,0,yes,1.000000
23,,2348993483.112576,2601922932.689971,0,64,0,0,yes,1.000000
22,,16921536531.488951,16984499536.050167,0,370,0,0,yes,1.000000
21,,2211255901.335674,2313449530.347660,0,55,0,0,yes,1.000000
20,,4060630482.754071,4062056319.938390,0,162,0,0,yes,1.000000
19,,3572276779.011707,3591105731.861300,0,101,0,0,yes,1.000000
18,,29962095.938975,39764054.554690,0,17,0,0,yes,1.000000
17,,191115344.410160,345839114.313970,0,11,0,0,yes,1.000000
16,,26801703402.514065,28698047969.469486,0,528,0,0,yes,1.000000
15,,2378703547.671384,2608982131.758280,0,114,0,0,yes,1.000000
14,,589388305.364250,691306277.055660,0,46,0,0,yes,1.000000
13,,531788900.982630,689972374.490210,0,89,0,0,yes,1.000000
12,,541919697.265620,620869704.270990,0,70,0,0,yes,1.000000
11,,1015495584.187755,1027325603.524390,0,171,0,0,yes,1.000000
10,,551661937.579320,557080122.488720,0,85,0,0,yes,1.000000
9,,1191423147.546900,1192179167.458520,0,67,0,0,yes,1.000000
8,,1289643311.160406,1736160060.534661,0,173,0,0,yes,1.000000
7,,2171242637.422111,2354185898.013680,0,173,0,0,yes,1.000000
6,,2343689936.523930,3225364847.887688,0,165,0,0,yes,1.000000
5,,1507276552.211417,1573972594.080080,0,85,0,0,yes,1.000000
4,,537709988.218270,538757886.284680,0,51,0,0,yes,1.000000
3,,1382677638.744610,1409323267.917940,0,66,0,0,yes,1.000000
2,,961616721.645475,1036241269.938450,0,112,0,0,yes,1.000000
1,,590592147.143080,604938791.586920,0,46,0,0,yes,1.000000
